link,UUID
http://www.ufcstats.com/fighter-details/fbb60f24af5d5a02,4bb5c333-1f0d-4224-b8c3-6b1ba26982db
http://www.ufcstats.com/fighter-details/0cd0456d6029cec2,bcd3ac98-4c9a-4f0c-baa9-aefa4a3b0321
http://www.ufcstats.com/fighter-details/27b388f0aab49780,b38c32e1-d50a-41ac-a519-918b34f5baf1
http://www.ufcstats.com/fighter-details/d7e40dca3ae125be,744c310e-9ae9-414e-a278-8d47ed4090e5
http://www.ufcstats.com/fighter-details/f748267c4ab6c127,c98d9995-a6ad-4f89-8b29-cb1144c2dd77
http://www.ufcstats.com/fighter-details/7cec3c4a5e7b6d68,6fac730d-2d47-4c0f-9070-e43ae9a5d293
http://www.ufcstats.com/fighter-details/4e30e4250cb08b61,4e685f93-2fcb-4a98-8c7b-95abaa7310b1
http://www.ufcstats.com/fighter-details/efc67b07eed39794,ac4aa2c7-bc90-4b19-9edd-be74ebe5eb7a
http://www.ufcstats.com/fighter-details/eb8d8c2a95cfccb8,ed9befbf-5654-4357-8a89-95646e2941df
http://www.ufcstats.com/fighter-details/f7be1db194e03d7e,d56c7ad3-5386-44ea-9e3f-87d959c5fe87
http://www.ufcstats.com/fighter-details/8eb046f83e82bf26,d4ecd6eb-b3ab-4467-82a9-3973ec5c67c7
http://www.ufcstats.com/fighter-details/02f484417a6fa69d,243f1ecf-76b8-4110-bc68-39f83d172ef1
http://www.ufcstats.com/fighter-details/d35298b6df168456,328c30df-41aa-41fc-9c63-95b350c21639
http://www.ufcstats.com/fighter-details/2c483cf443f38ece,5fc12a2a-f306-48d5-b06a-ad0db7a09c45
http://www.ufcstats.com/fighter-details/792be9a24df82ed6,be1eb1de-64be-48c3-b7ee-0fb5f94f357d
http://www.ufcstats.com/fighter-details/32ab52e5de93092d,abda5e9f-75d4-4026-bfc8-04d05a62482f
http://www.ufcstats.com/fighter-details/2e7878927067fdca,5310452d-f662-4888-80b3-c7fba299f9f7
http://www.ufcstats.com/fighter-details/519e4fe37ce9ff75,184c36b5-3ed8-467c-a019-59618886e1ea
http://www.ufcstats.com/fighter-details/5ef94841c4bc3f86,0be39b04-4b0b-4548-9e0b-0a082a2cf855
http://www.ufcstats.com/fighter-details/077e3ace32b72be9,62135f6a-58c6-4153-9b2d-d6fc63677fe7
http://www.ufcstats.com/fighter-details/fe2babf95de24fb1,28a4a50e-e42f-4a01-a6f0-c54be65ed0bf
http://www.ufcstats.com/fighter-details/37098a6e6c27fb66,d70c32b2-20f2-4720-b845-28879fb212ed
http://www.ufcstats.com/fighter-details/9a97acbfd5a08bfa,61340fb4-f3cd-44c9-aaa2-78d5caa570bd
http://www.ufcstats.com/fighter-details/72ea1984c52019b5,d02a901d-5519-4c3b-a66e-3421fc657789
http://www.ufcstats.com/fighter-details/34b96d52db1d26e6,d71d2bba-d1b0-405f-8dde-756241159d0b
http://www.ufcstats.com/fighter-details/f2900678e98f6d6a,7976d16d-5b74-4a9d-abeb-5f338cd33035
http://www.ufcstats.com/fighter-details/2f815ed5f8278ba6,a1a013ec-3cd3-4913-8d48-15fb12da2eb0
http://www.ufcstats.com/fighter-details/baa9be02c3e3e038,95e56be1-a053-497f-81bf-04ebbbaa73f9
http://www.ufcstats.com/fighter-details/5ec591b78349ba7e,bfcd69d2-e9cf-4b1b-a457-7a88497de64c
http://www.ufcstats.com/fighter-details/8e5d953bdb9ae5e7,75490a87-56f3-46ae-a591-1d8d2df5f19c
http://www.ufcstats.com/fighter-details/abb68e3c7ca128f2,82597866-d38e-40ad-9820-fcc913965c94
http://www.ufcstats.com/fighter-details/e132d47bd9efbbe0,83bac49c-a3d9-468c-b038-29c81311d6d8
http://www.ufcstats.com/fighter-details/c77a953488e5607d,991cf7eb-ba8d-4d36-81ba-cb9263bea4c9
http://www.ufcstats.com/fighter-details/e00a3dee329a51f7,0cb0b3ad-3fe0-4ad8-82f8-091631e71601
