fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Dan Hardy vs Mike Swick,Dan Hardy,Mike Swick,Dan Hardy,UFC 105: Couture vs Vera,Kevin Mulhall,Decision - Unanimous,11.14.2009,Manchester Evening News Arena,no,Co-Main Event,22,14,6,2,0,0,27.0,30.0,England,,,,0,0,55 of 112,38 of 98,49%,38%,107 of 165,75 of 140,1 of 4,0 of 3,25%,0%,0,1,3,5:00,"6' 0""","6' 1""","74""","77""",Orthodox,Orthodox
Michael Bisping vs Denis Kang,Michael Bisping,Denis Kang,Michael Bisping,UFC 105: Couture vs Vera,Dan Miragliotta,KO/TKO,11.14.2009,Manchester Evening News Arena,no,Main Card,17,32,2,11,0,1,30.0,32.0,United Kingdom,,,,0,1,29 of 85,11 of 53,34%,20%,50 of 110,27 of 75,3 of 3,0 of 1,100%,0%,1,0,2,4:24,"6' 1""","5' 11""","75""","77""",Orthodox,Orthodox
Matt Brown vs James Wilks,Matt Brown,James Wilks,Matt Brown,UFC 105: Couture vs Vera,Leon Roberts,KO/TKO,11.14.2009,Manchester Evening News Arena,no,Main Card,10,6,7,2,0,0,28.0,31.0,United States,,,,1,0,45 of 75,19 of 53,60%,35%,67 of 97,58 of 97,0 of 1,1 of 10,0%,10%,3,3,3,2:27,"6' 0""","6' 1""","75""","75""",Orthodox,Orthodox
Ross Pearson vs Aaron Riley,Ross Pearson,Aaron Riley,Ross Pearson,UFC 105: Couture vs Vera,Marc Goddard,TKO - Doctor's Stoppage,11.14.2009,Manchester Evening News Arena,no,Main Card,29,9,11,3,1,0,28.0,25.0,,United Kingdom,,,0,0,59 of 122,15 of 73,48%,20%,70 of 135,19 of 77,0 of 0,0 of 2,,0%,0,0,2,4:38,"5' 8""","5' 8""","69""","69""",Orthodox,Southpaw
John Hathaway vs Paul Taylor,John Hathaway,Paul Taylor,John Hathaway,UFC 105: Couture vs Vera,Kevin Mulhall,Decision - Unanimous,11.14.2009,Manchester Evening News Arena,no,Preliminary Card,12,10,0,4,0,1,22.0,29.0,United Kingdom,,,,0,0,80 of 148,5 of 19,54%,26%,239 of 330,11 of 25,5 of 6,0 of 0,83%,,0,1,3,5:00,"6' 1""","6' 0""","75""","72""",Orthodox,Orthodox
Terry Etim vs Shannon Gugerty,Terry Etim,Shannon Gugerty,Terry Etim,UFC 105: Couture vs Vera,Dan Miragliotta,Submission,11.14.2009,Manchester Evening News Arena,no,Preliminary Card,13,12,2,3,0,0,23.0,27.0,United Kingdom,,,,0,0,17 of 57,11 of 41,29%,26%,17 of 57,17 of 48,0 of 0,1 of 2,,50%,1,0,2,1:24,"6' 1""","5' 10""","73""","71""",Orthodox,Orthodox
Nick Osipczak vs Matthew Riddle,Nick Osipczak,Matthew Riddle,Nick Osipczak,UFC 105: Couture vs Vera,Marc Goddard,KO/TKO,11.14.2009,Manchester Evening News Arena,no,Preliminary Card,4,3,0,0,0,0,24.0,23.0,United Kingdom,,,,0,0,46 of 101,28 of 54,45%,51%,116 of 174,68 of 101,0 of 0,4 of 12,,33%,1,0,3,3:53,"6' 2""","6' 1""","76""","76""",Orthodox,Southpaw
Dennis Siver vs Paul Kelly,Dennis Siver,Paul Kelly,Dennis Siver,UFC 105: Couture vs Vera,Dan Miragliotta,KO/TKO,11.14.2009,Manchester Evening News Arena,no,Preliminary Card,14,10,6,1,0,0,30.0,25.0,Germany,,,,2,0,38 of 165,12 of 84,23%,14%,44 of 171,15 of 87,0 of 2,1 of 3,0%,33%,0,0,2,2:53,"5' 6""","5' 9""","70""","70""",Orthodox,Orthodox
Alexander Gustafsson vs Jared Hamman,Alexander Gustafsson,Jared Hamman,Alexander Gustafsson,UFC 105: Couture vs Vera,Kevin Mulhall,KO/TKO,11.14.2009,Manchester Evening News Arena,no,Preliminary Card,8,11,0,1,0,0,22.0,27.0,Sweden,,,,1,0,6 of 23,6 of 17,26%,35%,6 of 23,6 of 17,0 of 0,0 of 0,,,0,0,1,0:41,"6' 5""","6' 3""","79""","75""",Orthodox,Orthodox
Andre Winner vs Rolando Delgado,Andre Winner,Rolando Delgado,Andre Winner,UFC 105: Couture vs Vera,Leon Roberts,KO/TKO,11.14.2009,Manchester Evening News Arena,no,Preliminary Card,11,8,3,4,1,1,28.0,27.0,United Kingdom,,,,2,0,14 of 28,11 of 45,50%,24%,14 of 28,13 of 47,0 of 0,0 of 0,,,0,0,1,3:22,"5' 11""","6' 3""","73""","77""",Orthodox,Orthodox
Lyoto Machida vs Mauricio Rua,Lyoto Machida,Mauricio Rua,Lyoto Machida,UFC 104: Machida vs Shogun,Herb Dean,Decision - Unanimous,10.24.2009,Staples Center,yes,Main Event,15,18,0,3,0,0,31.0,27.0,Brazil,,,,0,0,35 of 108,80 of 146,32%,54%,39 of 113,82 of 148,0 of 0,0 of 4,,0%,0,0,5,5:00,"6' 1""","6' 1""","74""","76""",Southpaw,Orthodox
Cain Velasquez vs Ben Rothwell,Cain Velasquez,Ben Rothwell,Cain Velasquez,UFC 104: Machida vs Shogun,Steve Mazzagatti,KO/TKO,10.24.2009,Staples Center,no,Co-Main Event,6,28,0,6,0,0,27.0,28.0,United States,,,,0,0,62 of 95,3 of 21,65%,14%,84 of 119,3 of 21,5 of 5,0 of 0,100%,,0,0,2,0:58,"6' 1""","6' 4""","77""","78""",Orthodox,Orthodox
Gleison Tibau vs Josh Neer,Gleison Tibau,Josh Neer,Gleison Tibau,UFC 104: Machida vs Shogun,Josh Rosenthal,Decision - Unanimous,10.24.2009,Staples Center,no,Main Card,21,25,6,8,0,1,26.0,26.0,Brazil,,,,0,0,22 of 121,24 of 99,18%,24%,35 of 135,47 of 123,11 of 14,0 of 0,78%,,2,0,3,5:00,"5' 10""","5' 11""","71""","72""",Southpaw,Orthodox
Joe Stevenson vs Spencer Fisher,Joe Stevenson,Spencer Fisher,Joe Stevenson,UFC 104: Machida vs Shogun,Herb Dean,KO/TKO,10.24.2009,Staples Center,no,Main Card,30,23,10,4,0,0,27.0,33.0,United States,,,,0,0,28 of 53,14 of 44,52%,31%,51 of 81,20 of 51,2 of 7,0 of 0,28%,,0,0,2,4:03,"5' 7""","5' 7""","70""","68""",Orthodox,Southpaw
Anthony Johnson vs Yoshiyuki Yoshida,Anthony Johnson,Yoshiyuki Yoshida,Anthony Johnson,UFC 104: Machida vs Shogun,Steve Mazzagatti,KO/TKO,10.24.2009,Staples Center,no,Main Card,7,11,2,3,0,0,25.0,35.0,United States,,,,1,0,10 of 20,0 of 1,50%,0%,10 of 20,0 of 1,0 of 0,0 of 0,,,0,0,1,0:41,"6' 2""","5' 11""","78""","70""",Orthodox,Southpaw
Ryan Bader vs Eric Schafer,Ryan Bader,Eric Schafer,Ryan Bader,UFC 104: Machida vs Shogun,Josh Rosenthal,Decision - Unanimous,10.24.2009,Staples Center,no,Preliminary Card,9,11,0,3,0,2,26.0,32.0,United States,,,,2,0,52 of 166,25 of 116,31%,21%,74 of 192,45 of 136,3 of 4,0 of 0,75%,,0,1,3,5:00,"6' 2""","6' 3""","74""","76""",Orthodox,Orthodox
Pat Barry vs Antoni Hardonk,Pat Barry,Antoni Hardonk,Pat Barry,UFC 104: Machida vs Shogun,Josh Rosenthal,KO/TKO,10.24.2009,Staples Center,no,Preliminary Card,4,8,1,5,0,0,30.0,33.0,United States,,,,1,0,29 of 64,29 of 72,45%,40%,31 of 66,29 of 72,0 of 0,0 of 2,,0%,0,0,2,2:30,"5' 11""","6' 4""","74""","78""",Orthodox,Orthodox
Chael Sonnen vs Yushin Okami,Chael Sonnen,Yushin Okami,Chael Sonnen,UFC 104: Machida vs Shogun,Steve Mazzagatti,Decision - Unanimous,10.24.2009,Staples Center,no,Preliminary Card,23,24,10,4,1,0,32.0,28.0,United States,,,,0,0,91 of 281,25 of 154,32%,16%,144 of 337,29 of 158,4 of 7,0 of 0,57%,,0,1,3,5:00,"6' 1""","6' 2""","73""","75""",Southpaw,Southpaw
Jorge Rivera vs Rob Kimmons,Jorge Rivera,Rob Kimmons,Jorge Rivera,UFC 104: Machida vs Shogun,Jason Herzog,KO/TKO,10.24.2009,Staples Center,no,Preliminary Card,17,20,7,4,0,0,37.0,28.0,United States,,,,1,0,66 of 136,23 of 54,48%,42%,135 of 224,88 of 120,0 of 0,1 of 3,,33%,0,0,3,1:53,"6' 1""","5' 10""","73""","73""",Orthodox,Orthodox
Kyle Kingsbury vs Razak Al Hassan,Kyle Kingsbury,Razak Al Hassan,Kyle Kingsbury,UFC 104: Machida vs Shogun,Jason Herzog,Decision - Split,10.24.2009,Staples Center,no,Preliminary Card,7,7,2,1,0,0,27.0,27.0,United States,,,,0,0,25 of 98,31 of 79,25%,39%,76 of 149,45 of 93,2 of 6,1 of 4,33%,25%,0,0,3,5:00,"6' 4""","6' 2""","79""",,Orthodox,Orthodox
Stefan Struve vs Chase Gormley,Stefan Struve,Chase Gormley,Stefan Struve,UFC 104: Machida vs Shogun,Jason Herzog,Submission,10.24.2009,Staples Center,no,Preliminary Card,17,6,3,0,0,0,21.0,26.0,Netherlands,,,,0,0,12 of 16,8 of 23,75%,34%,32 of 41,10 of 28,1 of 1,1 of 1,100%,100%,3,1,1,4:04,"6' 11""","6' 3""","84""",,Orthodox,Orthodox
Vitor Belfort vs Rich Franklin,Vitor Belfort,Rich Franklin,Vitor Belfort,UFC 103: Franklin vs Belfort,Yves Lavigne,KO/TKO,09.19.2009,American Airlines Center,no,Main Event,18,27,8,4,0,0,32.0,34.0,Brazil,,,,0,0,9 of 22,4 of 19,40%,21%,9 of 22,4 of 19,0 of 0,0 of 1,,0%,0,0,1,3:02,"6' 0""","6' 1""","74""","76""",Southpaw,Southpaw
Junior dos Santos vs Mirko Filipovic,Junior Dos Santos,Mirko Filipovic,Junior Dos Santos,UFC 103: Franklin vs Belfort,Dan Miragliotta,KO/TKO,09.19.2009,American Airlines Center,no,Co-Main Event,8,25,1,6,0,2,25.0,35.0,Brazil,,,,0,0,70 of 157,22 of 49,44%,44%,83 of 170,24 of 51,0 of 0,0 of 1,,0%,0,0,3,2:00,"6' 4""","6' 2""","77""","73""",Orthodox,Southpaw
Paul Daley vs Martin Kampmann,Paul Daley,Martin Kampmann,Paul Daley,UFC 103: Franklin vs Belfort,Yves Lavigne,KO/TKO,09.19.2009,American Airlines Center,no,Main Card,21,16,8,2,2,0,26.0,27.0,United Kingdom,Denmark,,,0,0,27 of 63,12 of 35,42%,34%,29 of 65,12 of 35,0 of 0,0 of 2,,0%,0,0,1,2:31,"5' 9""","6' 0""","76""","72""",Orthodox,Orthodox
Josh Koscheck vs Frank Trigg,Josh Koscheck,Frank Trigg,Josh Koscheck,UFC 103: Franklin vs Belfort,Leon Roberts,KO/TKO,09.19.2009,American Airlines Center,no,Main Card,12,19,4,6,0,0,31.0,37.0,United States,,,,1,0,9 of 17,1 of 9,52%,11%,9 of 17,1 of 9,0 of 0,0 of 0,,,0,0,1,1:25,"5' 10""","5' 9""","73""","71""",Orthodox,Southpaw
Tyson Griffin vs Hermes Franca,Tyson Griffin,Hermes Franca,Tyson Griffin,UFC 103: Franklin vs Belfort,Dan Miragliotta,KO/TKO,09.19.2009,American Airlines Center,no,Main Card,13,19,2,7,0,0,25.0,35.0,United States,,,,1,0,67 of 149,11 of 71,44%,15%,72 of 154,12 of 72,0 of 0,0 of 0,,,0,0,2,3:26,"5' 6""","5' 6""","68""","71""",Orthodox,Orthodox
Efrain Escudero vs Cole Miller,Efrain Escudero,Cole Miller,Efrain Escudero,UFC 103: Franklin vs Belfort,Yves Lavigne,KO/TKO,09.19.2009,American Airlines Center,no,Preliminary Card,11,15,0,3,0,0,23.0,25.0,Mexico,,,,1,0,10 of 32,6 of 53,31%,11%,10 of 32,6 of 53,1 of 1,0 of 0,100%,,0,0,1,3:36,"5' 9""","6' 1""","71""","73""",Orthodox,Orthodox
Tomasz Drwal vs Drew McFedries,Tomasz Drwal,Drew McFedries,Tomasz Drwal,UFC 103: Franklin vs Belfort,Leon Roberts,Submission,09.19.2009,American Airlines Center,no,Preliminary Card,16,8,2,5,1,0,27.0,31.0,Poland,United States,,,0,0,31 of 73,17 of 46,42%,36%,36 of 80,17 of 46,3 of 7,0 of 0,42%,,1,0,2,1:03,"6' 1""","6' 0""","76""","72""",Orthodox,Southpaw
Jim Miller vs Steve Lopez,Jim Miller,Steve Lopez,Jim Miller,UFC 103: Franklin vs Belfort,Don Turnage,KO/TKO,09.19.2009,American Airlines Center,no,Preliminary Card,14,12,2,1,0,0,26.0,25.0,United States,,,,1,0,30 of 87,6 of 49,34%,12%,40 of 97,15 of 59,0 of 1,0 of 0,0%,,1,0,2,0:48,"5' 8""","5' 11""","71""",,Southpaw,Orthodox
Nik Lentz vs Rafaello Oliveira,Nik Lentz,Rafaello Oliveira,Nik Lentz,UFC 103: Franklin vs Belfort,Kerry Hatley,Decision - Unanimous,09.19.2009,American Airlines Center,no,Preliminary Card,16,10,3,2,1,0,25.0,27.0,United States,,,,0,0,67 of 136,29 of 110,49%,26%,124 of 197,91 of 188,4 of 5,4 of 7,80%,57%,4,0,3,5:00,"5' 8""","5' 8""","68""","71""",Orthodox,Orthodox
Rick Story vs Brian Foster,Rick Story,Brian Foster,Rick Story,UFC 103: Franklin vs Belfort,Dan Miragliotta,Submission,09.19.2009,American Airlines Center,no,Preliminary Card,7,13,3,3,0,0,25.0,25.0,United States,,,,0,0,18 of 59,6 of 47,30%,12%,35 of 78,16 of 57,3 of 4,0 of 2,75%,0%,1,1,2,1:09,"5' 9""","5' 9""","71""","71""",Southpaw,Orthodox
Eliot Marshall vs Jason Brilz,Eliot Marshall,Jason Brilz,Eliot Marshall,UFC 103: Franklin vs Belfort,Don Turnage,Decision - Split,09.19.2009,American Airlines Center,no,Preliminary Card,7,17,1,1,0,1,29.0,34.0,United States,,,,0,0,29 of 117,27 of 105,24%,25%,53 of 141,64 of 145,0 of 0,0 of 16,,0%,0,0,3,5:00,"6' 2""","5' 11""","77""","71""",Orthodox,Orthodox
Vladimir Matyushenko vs Igor Pokrajac,Vladimir Matyushenko,Igor Pokrajac,Vladimir Matyushenko,UFC 103: Franklin vs Belfort,Leon Roberts,Decision - Unanimous,09.19.2009,American Airlines Center,no,Preliminary Card,22,21,4,5,0,0,38.0,30.0,Belarus,,,,0,0,44 of 106,17 of 65,41%,26%,100 of 167,28 of 78,4 of 5,1 of 2,80%,50%,1,0,3,5:00,"6' 0""","6' 0""","74""","74""",Orthodox,Orthodox
Rafael dos Anjos vs Rob Emerson,Rafael Dos Anjos,Rob Emerson,Rafael Dos Anjos,UFC 103: Franklin vs Belfort,Kerry Hatley,Decision - Unanimous,09.19.2009,American Airlines Center,no,Preliminary Card,9,11,7,4,0,0,28.0,24.0,United States,Brazil,,,0,0,52 of 165,27 of 172,31%,15%,85 of 201,34 of 181,2 of 12,0 of 1,16%,0%,0,0,3,5:00,"5' 8""","5' 9""","70""","70""",Southpaw,Orthodox
Nate Diaz vs Melvin Guillard,Nate Diaz,Melvin Guillard,Nate Diaz,UFC Fight Night: Diaz vs Guillard,Herb Dean,Submission,09.16.2009,Cox Convention Center,no,Main Event,10,24,4,7,0,2,24.0,26.0,United States,,,,0,1,21 of 73,11 of 42,28%,26%,27 of 79,12 of 43,2 of 2,3 of 3,100%,100%,2,0,2,2:13,"6' 0""","5' 9""","76""","71""",Southpaw,Orthodox
Gray Maynard vs Roger Huerta,Gray Maynard,Roger Huerta,Gray Maynard,UFC Fight Night: Diaz vs Guillard,Dan Miragliotta,Decision - Split,09.16.2009,Cox Convention Center,no,Co-Main Event,7,20,0,2,0,1,30.0,26.0,United States,,,,0,0,23 of 79,40 of 166,29%,24%,43 of 100,62 of 192,3 of 7,0 of 0,42%,,1,0,3,5:00,"5' 9""","5' 9""","70""","70""",Orthodox,Orthodox
Carlos Condit vs Jake Ellenberger,Carlos Condit,Jake Ellenberger,Carlos Condit,UFC Fight Night: Diaz vs Guillard,Leon Roberts,Decision - Split,09.16.2009,Cox Convention Center,no,Main Card,23,21,5,4,0,0,25.0,24.0,United States,,,,0,2,27 of 70,28 of 59,38%,47%,168 of 222,55 of 93,1 of 2,3 of 4,50%,75%,1,3,3,5:00,"6' 2""","5' 9""","75""","71""",Orthodox,Orthodox
Nate Quarry vs Tim Credeur,Nate Quarry,Tim Credeur,Nate Quarry,UFC Fight Night: Diaz vs Guillard,Herb Dean,Decision - Unanimous,09.16.2009,Cox Convention Center,no,Main Card,11,12,3,2,0,0,37.0,32.0,United States,,,,2,1,53 of 131,40 of 162,40%,24%,124 of 225,56 of 189,0 of 0,0 of 0,,,0,1,3,5:00,"6' 0""","6' 3""","72""","75""",Open Stance,Orthodox
Brian Stann vs Steve Cantwell,Brian Stann,Steve Cantwell,Brian Stann,UFC Fight Night: Diaz vs Guillard,Kevin Nix,Decision - Unanimous,09.16.2009,Cox Convention Center,no,Preliminary Card,6,7,2,2,0,0,28.0,22.0,United States,,,,0,0,44 of 178,35 of 154,24%,22%,50 of 184,36 of 155,0 of 5,0 of 1,0%,0%,0,0,3,5:00,"6' 1""","6' 2""","74""","75""",Orthodox,Orthodox
Mike Pyle vs Chris Wilson,Mike Pyle,Chris Wilson,Mike Pyle,UFC Fight Night: Diaz vs Guillard,Dan Miragliotta,Submission,09.16.2009,Cox Convention Center,no,Preliminary Card,17,12,5,5,1,0,33.0,32.0,United States,,,,0,0,12 of 41,19 of 55,29%,34%,94 of 132,27 of 64,2 of 6,1 of 2,33%,50%,2,1,3,2:15,"6' 0""","6' 1""","74""","75""",Orthodox,Orthodox
CB Dollaway vs Jay Silva,CB Dollaway,Jay Silva,CB Dollaway,UFC Fight Night: Diaz vs Guillard,Leon Roberts,Decision - Unanimous,09.16.2009,Cox Convention Center,no,Preliminary Card,8,5,2,1,0,0,26.0,28.0,United States,Brazil,,,0,0,32 of 55,19 of 44,58%,43%,67 of 93,61 of 91,6 of 10,0 of 1,60%,0%,2,2,3,5:00,"6' 2""","6' 2""","76""",,Orthodox,Southpaw
Jeremy Stephens vs Justin Buchholz,Jeremy Stephens,Justin Buchholz,Jeremy Stephens,UFC Fight Night: Diaz vs Guillard,Kevin Nix,TKO - Doctor's Stoppage,09.16.2009,Cox Convention Center,no,Preliminary Card,9,16,3,5,0,0,26.0,23.0,,United States,,,2,0,28 of 50,9 of 49,56%,18%,30 of 52,11 of 51,0 of 0,0 of 0,,,0,0,1,3:23,"5' 9""","6' 0""","71""","73""",Orthodox,Orthodox
Mike Pierce vs Brock Larson,Mike Pierce,Brock Larson,Mike Pierce,UFC Fight Night: Diaz vs Guillard,Tom Jones,Decision - Unanimous,09.16.2009,Cox Convention Center,no,Preliminary Card,8,29,2,2,0,0,29.0,32.0,United States,,,,0,0,27 of 54,11 of 33,50%,33%,122 of 152,37 of 61,6 of 11,0 of 0,54%,,0,1,3,5:00,"5' 8""","5' 11""","71""","71""",Orthodox,Southpaw
Ryan Jensen vs Steve Steinbeiss,Ryan Jensen,Steve Steinbeiss,Ryan Jensen,UFC Fight Night: Diaz vs Guillard,Gary Ritter,Submission,09.16.2009,Cox Convention Center,no,Preliminary Card,13,4,5,2,0,0,31.0,28.0,United States,,,,0,0,9 of 17,7 of 19,52%,36%,22 of 30,14 of 26,1 of 1,0 of 0,100%,,1,0,1,3:56,"6' 1""","6' 3""","76""","75""",Orthodox,Orthodox
Antonio Rodrigo Nogueira vs Randy Couture,Antonio Rodrigo Nogueira,Randy Couture,Antonio Rodrigo Nogueira,UFC 102: Couture vs Nogueira,Mario Yamasaki,Decision - Unanimous,08.29.2009,Rose Garden,no,Main Event,31,16,5,9,1,0,33.0,46.0,Brazil,,,,2,0,27 of 96,42 of 103,28%,40%,133 of 215,65 of 126,0 of 0,0 of 1,,0%,3,0,3,5:00,"6' 3""","6' 1""","77""","75""",Orthodox,Orthodox
Thiago Silva vs Keith Jardine,Thiago Silva,Keith Jardine,Thiago Silva,UFC 102: Couture vs Nogueira,Herb Dean,KO/TKO,08.29.2009,Rose Garden,no,Co-Main Event,13,15,1,5,0,1,26.0,33.0,Brazil,,,,1,0,5 of 8,3 of 17,62%,17%,6 of 9,4 of 18,0 of 0,0 of 0,,,0,0,1,1:35,"6' 2""","6' 2""","74""","76""",Orthodox,Orthodox
Jake Rosholt vs Chris Leben,Jake Rosholt,Chris Leben,Jake Rosholt,UFC 102: Couture vs Nogueira,Yves Lavigne,Submission,08.29.2009,Rose Garden,no,Main Card,5,17,1,6,0,0,26.0,29.0,United States,United States,,,0,0,21 of 42,14 of 43,50%,32%,38 of 60,77 of 112,3 of 4,1 of 1,75%,100%,1,0,3,1:30,"6' 1""","5' 11""",,"73""",Orthodox,Southpaw
Nate Marquardt vs Demian Maia,Nate Marquardt,Demian Maia,Nate Marquardt,UFC 102: Couture vs Nogueira,Dave Hagen,KO/TKO,08.29.2009,Rose Garden,no,Main Card,28,11,8,0,2,0,30.0,31.0,United States,,,,1,0,1 of 1,0 of 2,100%,0%,1 of 1,0 of 2,0 of 0,0 of 0,,,0,0,1,0:21,"6' 0""","6' 1""","74""","72""",Orthodox,Southpaw
Brandon Vera vs Krzysztof Soszynski,Brandon Vera,Krzysztof Soszynski,Brandon Vera,UFC 102: Couture vs Nogueira,Herb Dean,Decision - Unanimous,08.29.2009,Rose Garden,no,Main Card,10,23,3,9,0,1,31.0,32.0,United States,,,,0,0,62 of 134,41 of 127,46%,32%,73 of 146,55 of 143,1 of 1,1 of 5,100%,20%,0,0,3,5:00,"6' 3""","6' 1""","78""","77""",Orthodox,Open Stance
Aaron Simpson vs Ed Herman,Aaron Simpson,Ed Herman,Aaron Simpson,UFC 102: Couture vs Nogueira,Yves Lavigne,KO/TKO,08.29.2009,Rose Garden,no,Preliminary Card,6,15,0,7,0,0,35.0,28.0,United States,,,,1,0,25 of 50,7 of 32,50%,21%,39 of 66,14 of 39,3 of 3,0 of 0,100%,,0,0,2,0:17,"6' 0""","6' 1""","73""","77""",Orthodox,Orthodox
Gabriel Gonzaga vs Chris Tuchscherer,Gabriel Gonzaga,Chris Tuchscherer,Gabriel Gonzaga,UFC 102: Couture vs Nogueira,Dave Hagen,KO/TKO,08.29.2009,Rose Garden,no,Preliminary Card,10,20,4,1,0,0,30.0,33.0,Brazil,,,,1,0,22 of 27,0 of 1,81%,0%,34 of 41,0 of 1,0 of 0,0 of 0,,,0,0,1,2:27,"6' 2""","6' 2""","76""","76""",Orthodox,Orthodox
Mike Russow vs Justin McCully,Mike Russow,Justin McCully,Mike Russow,UFC 102: Couture vs Nogueira,Herb Dean,Decision - Unanimous,08.29.2009,Rose Garden,no,Preliminary Card,10,11,4,1,2,0,33.0,32.0,,United States,,,0,0,21 of 36,11 of 58,58%,18%,87 of 111,35 of 83,8 of 11,0 of 0,72%,,2,0,3,5:00,"6' 1""","6' 1""","73""","73""",Orthodox,Orthodox
Todd Duffee vs Tim Hague,Todd Duffee,Tim Hague,Todd Duffee,UFC 102: Couture vs Nogueira,Mario Yamasaki,KO/TKO,08.29.2009,Rose Garden,no,Preliminary Card,10,5,1,0,0,0,25.0,23.0,,United States,,,1,0,4 of 5,0 of 1,80%,0%,5 of 6,0 of 1,0 of 0,0 of 0,,,0,0,1,0:07,"6' 3""","6' 4""","78""","76""",Orthodox,Orthodox
Mark Munoz vs Nick Catone,Mark Munoz,Nick Catone,Mark Munoz,UFC 102: Couture vs Nogueira,Yves Lavigne,Decision - Split,08.29.2009,Rose Garden,no,Preliminary Card,5,7,1,1,0,0,31.0,27.0,United States,,,,0,0,53 of 102,38 of 82,51%,46%,75 of 127,55 of 99,2 of 12,3 of 6,16%,50%,2,1,3,5:00,"6' 0""","6' 0""","71""","72""",Orthodox,Southpaw
Evan Dunham vs Marcus Aurelio,Evan Dunham,Marcus Aurelio,Evan Dunham,UFC 102: Couture vs Nogueira,Shawn Gregory,Decision - Split,08.29.2009,Rose Garden,no,Preliminary Card,8,18,0,7,0,0,27.0,36.0,United States,,,,1,0,58 of 161,27 of 102,36%,26%,70 of 175,57 of 133,1 of 1,3 of 15,100%,20%,0,1,3,5:00,"5' 10""","5' 10""","70""","74""",Southpaw,Orthodox
BJ Penn vs Kenny Florian,BJ Penn,Kenny Florian,BJ Penn,UFC 101: Declaration,Dan Miragliotta,Submission,08.08.2009,Wachovia Center,yes,Main Event,13,11,5,3,1,0,30.0,33.0,United States,,,,0,0,57 of 94,19 of 58,60%,32%,151 of 189,90 of 131,1 of 3,0 of 15,33%,0%,1,0,4,3:54,"5' 9""","5' 10""","70""","74""",Orthodox,Southpaw
Anderson Silva vs Forrest Griffin,Anderson Silva,Forrest Griffin,Anderson Silva,UFC 101: Declaration,Kevin Mulhall,KO/TKO,08.08.2009,Wachovia Center,no,Co-Main Event,26,16,4,5,0,0,34.0,30.0,Brazil,,,,3,0,13 of 25,3 of 42,52%,7%,13 of 25,4 of 43,0 of 0,0 of 0,,,0,0,1,3:23,"6' 2""","6' 3""","77""","77""",Southpaw,Orthodox
Aaron Riley vs Shane Nelson,Aaron Riley,Shane Nelson,Aaron Riley,UFC 101: Declaration,Kevin Mulhall,Decision - Unanimous,08.08.2009,Wachovia Center,no,Preliminary Card,28,12,11,3,1,0,28.0,25.0,United States,,,,0,0,50 of 122,28 of 74,40%,37%,154 of 236,80 of 128,2 of 5,0 of 5,40%,0%,0,0,3,5:00,"5' 8""","5' 9""","69""","70""",Southpaw,Southpaw
Johny Hendricks vs Amir Sadollah,Johny Hendricks,Amir Sadollah,Johny Hendricks,UFC 101: Declaration,Dan Miragliotta,KO/TKO,08.08.2009,Wachovia Center,no,Main Card,5,1,0,0,0,0,25.0,28.0,United States,,,,1,0,7 of 15,2 of 9,46%,22%,7 of 15,2 of 9,0 of 0,0 of 0,,,0,0,1,0:29,"5' 9""","5' 10""","69""","75""",Southpaw,Orthodox
Ricardo Almeida vs Kendall Grove,Ricardo Almeida,Kendall Grove,Ricardo Almeida,UFC 101: Declaration,Mario Yamasaki,Decision - Unanimous,08.08.2009,Wachovia Center,no,Main Card,10,10,3,5,0,0,32.0,26.0,United States,,,,0,0,38 of 62,25 of 62,61%,40%,70 of 102,85 of 127,6 of 14,0 of 0,42%,,0,2,3,5:00,"6' 0""","6' 6""","74""","79""",Orthodox,Orthodox
Kurt Pellegrino vs Josh Neer,Kurt Pellegrino,Josh Neer,Kurt Pellegrino,UFC 101: Declaration,Dan Miragliotta,Decision - Unanimous,08.08.2009,Wachovia Center,no,Main Card,14,25,4,7,0,1,30.0,26.0,United States,,,,0,0,21 of 48,24 of 48,43%,50%,105 of 148,65 of 91,3 of 5,0 of 0,60%,,0,1,3,5:00,"5' 8""","5' 11""","70""","72""",Orthodox,Orthodox
John Howard vs Tamdan McCrory,John Howard,Tamdan McCrory,John Howard,UFC 101: Declaration,Mario Yamasaki,Decision - Split,08.08.2009,Wachovia Center,no,Preliminary Card,11,11,4,2,0,0,26.0,22.0,United States,,,,0,0,19 of 37,11 of 46,51%,23%,58 of 78,44 of 83,5 of 7,2 of 6,71%,33%,1,1,3,5:00,"5' 7""","6' 4""","72""","76""",Orthodox,Switch
