fight,redCorner,blueCorner,winner,event,referee,method_of_victory,date,venue,title_fight,billing,redCorner_wins,blueCorner_wins,redCorner_losses,blueCorner_losses,redCorner_draws,blueCorner_draws,redCorner_age,blueCorner_age,redCorner_nation,blueCorner_nation,redCorner_fan,blueCorner_fan,redCorner_knockdowns,blueCorner_knockdowns,redCorner_sig_str,blueCorner_sig_str,redCorner_sig_str_percentage,blueCorner_sig_str_percentage,redCorner_total_str,blueCorner_total_str,redCorner_takedowns,blueCorner_takedowns,redCorner_takedown_percentage,blueCorner_takedown_percentage,redCorner_subs_attempted,blueCorner_subs_attempted,round,time,redCorner_height,blueCorner_height,redCorner_reach,blueCorner_reach,redCorner_stance,blueCorner_stance
Chris Lytle vs Kevin Burns,Chris Lytle,Kevin Burns,Chris Lytle,The Ultimate Fighter: United States vs. United Kingdom Finale,Herb Dean,Decision - Unanimous,06.20.2009,The Pearl at the Palms,no,Main Card,26,7,17,2,5,0,34.0,29.0,United States,,,,0,1,101 of 247,69 of 195,40%,35%,108 of 254,75 of 202,0 of 3,1 of 1,0%,100%,0,0,3,5:00,"5' 11""","5' 10""","68""","74""",Orthodox,Orthodox
Ross Pearson vs Andre Winner,Ross Pearson,Andre Winner,Ross Pearson,The Ultimate Fighter: United States vs. United Kingdom Finale,Herb Dean,Decision - Unanimous,06.20.2009,The Pearl at the Palms,yes,Main Card,8,11,3,2,0,1,24.0,27.0,United Kingdom,,,,0,0,74 of 129,46 of 86,57%,53%,108 of 164,95 of 136,0 of 7,0 of 2,0%,0%,0,0,3,5:00,"5' 8""","5' 11""","69""","73""",Orthodox,Orthodox
Joe Stevenson vs Nate Diaz,Joe Stevenson,Nate Diaz,Joe Stevenson,The Ultimate Fighter: United States vs. United Kingdom Finale,Steve Mazzagatti,Decision - Unanimous,06.20.2009,The Pearl at the Palms,no,Main Card,29,10,10,3,0,0,27.0,24.0,United States,United States,,,0,0,27 of 47,6 of 29,57%,20%,49 of 71,58 of 86,8 of 14,1 of 2,57%,50%,1,4,3,5:00,"5' 7""","6' 0""","70""","76""",Orthodox,Southpaw
Melvin Guillard vs Gleison Tibau,Melvin Guillard,Gleison Tibau,Melvin Guillard,The Ultimate Fighter: United States vs. United Kingdom Finale,Josh Rosenthal,Decision - Split,06.20.2009,The Pearl at the Palms,no,Preliminary Card,23,21,7,5,2,0,26.0,25.0,United States,,,,0,0,13 of 50,14 of 50,26%,28%,19 of 56,72 of 115,1 of 4,6 of 14,25%,42%,0,0,3,5:00,"5' 9""","5' 10""","71""","71""",Orthodox,Southpaw
Brad Blackburn vs Edgar Garcia,Brad Blackburn,Edgar Garcia,Brad Blackburn,The Ultimate Fighter: United States vs. United Kingdom Finale,Kim Winslow,Decision - Split,06.20.2009,The Pearl at the Palms,no,Preliminary Card,11,7,8,0,0,0,32.0,25.0,United States,,,,0,0,66 of 162,39 of 185,40%,21%,66 of 162,39 of 185,0 of 1,1 of 3,0%,33%,1,0,3,5:00,"5' 10""","5' 10""","73""","71""",Orthodox,Orthodox
Tomasz Drwal vs Mike Ciesnolevicz,Tomasz Drwal,Mike Ciesnolevicz,Tomasz Drwal,The Ultimate Fighter: United States vs. United Kingdom Finale,Herb Dean,KO/TKO,06.20.2009,The Pearl at the Palms,no,Preliminary Card,15,17,2,3,1,0,27.0,29.0,Poland,United States,,,1,0,27 of 61,3 of 6,44%,50%,37 of 72,3 of 6,4 of 5,0 of 1,80%,0%,0,0,1,4:48,"6' 1""","6' 0""","76""",,Orthodox,Orthodox
Nick Osipczak vs Frank Lester,Nick Osipczak,Frank Lester,Nick Osipczak,The Ultimate Fighter: United States vs. United Kingdom Finale,Kim Winslow,Submission,06.20.2009,The Pearl at the Palms,no,Preliminary Card,3,3,0,2,0,0,24.0,25.0,United Kingdom,,,,0,0,14 of 30,8 of 22,46%,36%,17 of 33,10 of 24,1 of 1,0 of 2,100%,0%,1,0,1,3:40,"6' 2""","5' 11""","76""",,Orthodox,Orthodox
Jason Dent vs Cameron Dollar,Jason Dent,Cameron Dollar,Jason Dent,The Ultimate Fighter: United States vs. United Kingdom Finale,Josh Rosenthal,Submission,06.20.2009,The Pearl at the Palms,no,Preliminary Card,20,4,9,1,0,0,29.0,22.0,United States,,,,0,0,14 of 36,24 of 63,38%,38%,14 of 36,24 of 63,0 of 0,0 of 1,,0%,1,0,1,4:46,"5' 10""","5' 11""","71""",,Orthodox,Orthodox
Rich Franklin vs Wanderlei Silva,Rich Franklin,Wanderlei Silva,Rich Franklin,UFC 99: The Comeback,Mario Yamasaki,Decision - Unanimous,06.13.2009,Lanxess Arena,no,Main Event,26,32,4,9,0,1,34.0,32.0,United States,,,,0,0,52 of 150,38 of 137,34%,27%,67 of 167,55 of 157,1 of 2,1 of 1,50%,100%,0,0,3,5:00,"6' 1""","5' 11""","76""","74""",Southpaw,Orthodox
Cain Velasquez vs Cheick Kongo,Cain Velasquez,Cheick Kongo,Cain Velasquez,UFC 99: The Comeback,Dan Miragliotta,Decision - Unanimous,06.13.2009,Lanxess Arena,no,Co-Main Event,14,5,4,0,1,0,34.0,26.0,,United States,,,0,0,29 of 53,21 of 34,54%,61%,261 of 320,42 of 56,7 of 10,1 of 3,70%,33%,2,0,3,5:00,"6' 1""","6' 4""","77""","82""",Orthodox,Orthodox
